name,sex
John,M
William,M
James,M
Charles,M
George,M
Frank,M
Joseph,M
Thomas,M
Henry,M
Robert,M
Edward,M
Harry,M
Walter,M
Arthur,M
Fred,M
Albert,M
Samuel,M
David,M
Louis,M
Joe,M
Charlie,M
Clarence,M
Richard,M
Andrew,M
Daniel,M
Ernest,M
Will,M
Jesse,M
Oscar,M
Lewis,M
Peter,M
Benjamin,M
Frederick,M
Willie,M
Alfred,M
Sam,M
Roy,M
Herbert,M
Jacob,M
Tom,M
Elmer,M
Carl,M
Lee,M
Howard,M
Martin,M
Michael,M
Bert,M
Herman,M
Jim,M
Francis,M
Harvey,M
Earl,M
Eugene,M
Ralph,M
Ed,M
Claude,M
Edwin,M
Ben,M
Charley,M
Paul,M
Edgar,M
Isaac,M
Otto,M
Luther,M
Lawrence,M
Ira,M
Patrick,M
Guy,M
Oliver,M
Theodore,M
Hugh,M
Clyde,M
Alexander,M
August,M
Floyd,M
Homer,M
Jack,M
Leonard,M
Horace,M
Marion,M
Philip,M
Allen,M
Archie,M
Stephen,M
Chester,M
Willis,M
Raymond,M
Rufus,M
Warren,M
Jessie,M
Milton,M
Alex,M
Leo,M
Julius,M
Ray,M
Sidney,M
Bernard,M
Dan,M
Jerry,M
Calvin,M
Perry,M
Dave,M
Anthony,M
Eddie,M
Amos,M
Dennis,M
Clifford,M
Leroy,M
Wesley,M
Alonzo,M
Garfield,M
Franklin,M
Emil,M
Leon,M
Nathan,M
Harold,M
Matthew,M
Levi,M
Moses,M
Everett,M
Lester,M
Winfield,M
Adam,M
Lloyd,M
Mack,M
Fredrick,M
Jay,M
Jess,M
Melvin,M
Noah,M
Aaron,M
Alvin,M
Norman,M
Gilbert,M
Elijah,M
Victor,M
Gus,M
Nelson,M
Jasper,M
Silas,M
Christopher,M
Jake,M
Mike,M
Percy,M
Adolph,M
Maurice,M
Cornelius,M
Felix,M
Reuben,M
Wallace,M
Claud,M
Roscoe,M
Sylvester,M
Earnest,M
Hiram,M
Otis,M
Simon,M
Willard,M
Irvin,M
Mark,M
Jose,M
Wilbur,M
Abraham,M
Virgil,M
Clinton,M
Elbert,M
Leslie,M
Marshall,M
Owen,M
Wiley,M
Anton,M
Morris,M
Manuel,M
Phillip,M
Augustus,M
Emmett,M
Eli,M
Nicholas,M
Wilson,M
Alva,M
Harley,M
Newton,M
Timothy,M
Marvin,M
Ross,M
Curtis,M
Edmund,M
Jeff,M
Elias,M
Harrison,M
Stanley,M
Columbus,M
Lon,M
Ora,M
Ollie,M
Russell,M
